No;Kode;Daerah;Level;SD;SMP;SMA;SMK;Total
386;210.400;Kab. Kepulauan Tanimbar;Kabupaten/Kota;63;27;36;4;130
387;210.500;Kab. Seram Bagian Barat;Kabupaten/Kota;42;26;13;0;81
388;210.600;Kab. Seram Bagian Timur;Kabupaten/Kota;60;36;16;0;112
389;210.700;Kab. Kepulauan Aru;Kabupaten/Kota;31;19;7;1;58
390;210.800;Kab. Maluku Barat Daya;Kabupaten/Kota;25;46;47;20;138
391;210.900;Kab. Buru Selatan;Kabupaten/Kota;42;7;2;2;53
392;216.000;Kota Ambon;Kabupaten/Kota;68;13;82;17;180
393;216.100;Kota Tual;Kabupaten/Kota;31;0;2;0;33
395;220.100;Kab. Buleleng;Kabupaten/Kota;52;14;2;6;74
396;220.200;Kab. Jembrana;Kabupaten/Kota;18;1;2;1;22
397;220.300;Kab. Tabanan;Kabupaten/Kota;11;0;1;1;13
398;220.400;Kab. Badung;Kabupaten/Kota;19;8;3;6;36
399;220.500;Kab. Gianyar;Kabupaten/Kota;11;2;0;3;16
400;220.600;Kab. Klungkung;Kabupaten/Kota;20;0;4;0;24
401;220.700;Kab. Bangli;Kabupaten/Kota;8;9;0;2;19
402;220.800;Kab. Karangasem;Kabupaten/Kota;20;11;2;1;34
403;226.000;Kota Denpasar;Kabupaten/Kota;9;1;7;14;31
405;230.100;Kab. Lombok Barat;Kabupaten/Kota;123;21;131;84;359
406;230.200;Kab. Lombok Tengah;Kabupaten/Kota;167;91;80;61;399
407;230.300;Kab. Lombok Timur;Kabupaten/Kota;197;61;305;315;878
408;230.400;Kab. Sumbawa;Kabupaten/Kota;57;13;21;48;139
409;230.500;Kab. Dompu;Kabupaten/Kota;165;17;82;18;282
410;230.600;Kab. Bima;Kabupaten/Kota;256;96;122;97;571
411;230.700;Kab. Sumbawa Barat;Kabupaten/Kota;14;4;5;6;29
412;230.800;Kab. Lombok Utara;Kabupaten/Kota;37;8;133;9;187
413;236.000;Kota Mataram;Kabupaten/Kota;17;6;11;17;51
414;236.100;Kota Bima;Kabupaten/Kota;60;2;29;6;97
416;240.100;Kab. Kupang;Kabupaten/Kota;66;54;48;63;231
417;240.300;Kab. Timor Tengah Selatan;Kabupaten/Kota;384;86;44;91;605
418;240.400;Kab. Timor Tengah Utara;Kabupaten/Kota;55;26;33;17;131
419;240.500;Kab. Belu;Kabupaten/Kota;76;35;9;7;127
420;240.600;Kab. Alor;Kabupaten/Kota;130;46;59;20;255
421;240.700;Kab. Flores Timur;Kabupaten/Kota;67;24;28;43;162
422;240.800;Kab. Sikka;Kabupaten/Kota;110;47;12;15;184
423;240.900;Kab. Ende;Kabupaten/Kota;66;24;20;122;232
424;241.000;Kab. Ngada;Kabupaten/Kota;32;22;13;32;99
425;241.100;Kab. Manggarai;Kabupaten/Kota;48;43;44;16;151
426;241.200;Kab. Sumba Timur;Kabupaten/Kota;1.361;52;27;1;1.441
427;241.300;Kab. Sumba Barat;Kabupaten/Kota;67;17;37;2;123
428;241.400;Kab. Lembata;Kabupaten/Kota;33;9;26;2;70
429;241.500;Kab. Rote Ndao;Kabupaten/Kota;44;18;6;10;78
430;241.600;Kab. Manggarai Barat;Kabupaten/Kota;38;17;19;3;77
431;241.700;Kab. Nagekeo;Kabupaten/Kota;48;27;11;5;91
432;241.800;Kab. Sumba Tengah;Kabupaten/Kota;17;4;4;4;29
433;241.900;Kab. Sumba Barat Daya;Kabupaten/Kota;515;173;31;167;886
434;242.000;Kab. Manggarai Timur;Kabupaten/Kota;65;50;57;44;216
435;242.100;Kab. Sabu Raijua;Kabupaten/Kota;23;4;8;3;38
436;242.200;Kab. Malaka;Kabupaten/Kota;150;75;18;3;246
437;246.000;Kota Kupang;Kabupaten/Kota;68;13;42;16;139
439;250.100;Kab. Jayapura;Kabupaten/Kota;115;22;47;9;193
440;250.200;Kab. Biak Numfor;Kabupaten/Kota;122;19;10;2;153
441;250.300;Kab. Kepulauan Yapen;Kabupaten/Kota;39;3;12;32;86
442;250.700;Kab. Merauke;Kabupaten/Kota;156;93;26;53;328
443;250.800;Kab. Jayawijaya;Kabupaten/Kota;36;136;59;86;317
444;250.900;Kab. Nabire;Kabupaten/Kota;47;30;14;9;100
445;251.000;Kab. Paniai;Kabupaten/Kota;237;8;111;3;359
446;251.100;Kab. Puncak Jaya;Kabupaten/Kota;214;16;0;0;230
447;251.200;Kab. Mimika;Kabupaten/Kota;123;50;8;10;191
448;251.300;Kab. Boven Digoel;Kabupaten/Kota;123;1;2;0;126
449;251.400;Kab. Mappi;Kabupaten/Kota;243;26;1;11;281
450;251.500;Kab. Asmat;Kabupaten/Kota;252;10;0;0;262
451;251.600;Kab. Yahukimo;Kabupaten/Kota;284;107;5;3;399
452;251.700;Kab. Pegunungan Bintang;Kabupaten/Kota;232;4;0;5;241
453;251.800;Kab. Tolikara;Kabupaten/Kota;12;117;2;0;131
454;251.900;Kab. Sarmi;Kabupaten/Kota;46;19;0;9;74
455;252.000;Kab. Keerom;Kabupaten/Kota;18;2;0;0;20
456;252.600;Kab. Waropen;Kabupaten/Kota;38;10;0;0;48
457;252.700;Kab. Supiori;Kabupaten/Kota;21;4;10;0;35
458;252.800;Kab. Mamberamo Raya;Kabupaten/Kota;14;7;3;0;24
459;252.900;Kab. Nduga;Kabupaten/Kota;41;0;3;0;44
460;253.000;Kab. Lanny Jaya;Kabupaten/Kota;57;14;52;5;128
461;253.100;Kab. Mamberamo Tengah;Kabupaten/Kota;23;8;2;0;33
462;253.200;Kab. Yalimo;Kabupaten/Kota;24;18;0;0;42
463;253.300;kab. Puncak;Kabupaten/Kota;3;2;2;0;7
464;253.400;Kab. Dogiyai;Kabupaten/Kota;175;35;0;8;218
465;253.500;Kab. Deiyai;Kabupaten/Kota;55;63;32;9;159
466;253.600;Kab. Intan Jaya;Kabupaten/Kota;2;14;0;0;16
467;256.000;Kota Jayapura;Kabupaten/Kota;90;18;1;40;149
469;260.100;Kab. Bengkulu Utara;Kabupaten/Kota;27;12;12;1;52
470;260.200;Kab. Rejang Lebong;Kabupaten/Kota;21;8;7;13;49
471;260.300;Kab. Bengkulu Selatan;Kabupaten/Kota;70;1;29;3;103
472;260.400;Kab. Mukomuko;Kabupaten/Kota;34;4;13;31;82
473;260.500;Kab. Kepahiang;Kabupaten/Kota;15;9;10;2;36
474;260.600;Kab. Lebong;Kabupaten/Kota;8;13;1;4;26
475;260.700;Kab. Kaur;Kabupaten/Kota;37;18;13;13;81
476;260.800;Kab. Seluma;Kabupaten/Kota;31;6;10;9;56
477;260.900;Kab. Bengkulu Tengah;Kabupaten/Kota;19;6;12;0;37
478;266.000;Kota Bengkulu;Kabupaten/Kota;24;14;12;122;172
480;270.100;Kab. Pulau Taliabu;Kabupaten/Kota;53;16;5;11;85
481;270.200;Kab. Halmahera Tengah;Kabupaten/Kota;56;35;9;0;100
482;270.300;Kab. Halmahera Barat;Kabupaten/Kota;50;5;4;3;62
483;270.400;Kab. halmahera Utara;Kabupaten/Kota;93;9;9;33;144
484;270.500;Kab. Halmahera Selatan;Kabupaten/Kota;172;42;62;25;301
485;270.600;Kab. Halmahera Timur;Kabupaten/Kota;33;10;3;13;59
486;270.700;Kab. Kepulauan Sula;Kabupaten/Kota;5;10;0;3;18
487;270.800;Kab. Pulau Morotai;Kabupaten/Kota;1;1;5;8;15
488;276.000;Kota Ternate;Kabupaten/Kota;34;13;4;7;58
489;276.100;Kota Tidore Kepulauan;Kabupaten/Kota;37;3;2;4;46
